Author,author_id,SUM de Created,SUM de Played
Jean-Paul CANTINEAUX,1805,664,2967
Anny LESCALIER (ex-Daprey),1609,452,2406
Eric BEAUVILLAIN,193,691,2279
François SCHARRE,2103,274,1702
Pascal MARTIN,11,733,1689
Lionel DE MESSEY,1183,509,1496
Patrick MERMAZ,1682,698,1302
Claude HUSSON,1037,300,1288
François FLORENTIN,2063,366,1218
Isabelle OHEIX,1321,314,1161
Jean-Luc PECQUEUR,17,306,1082
Viviane TARDIVEL,1983,169,1078
Claude MONTEIL,1529,94,925
Frédéric DUBOST,1377,227,838
David-Olivier DEFARGES,1887,430,805
Jean-Marie CAUËT,191,221,710
Jérôme VUITTENEZ,1249,165,700
Charles ISTACE,1041,169,657
Michel LE DALL,1656,180,652
Yvon TABURET,2534,135,620
Michel FOURNIER,904,239,598
Jean-Pierre MARTINEZ,42,73,595
Cyrille ROYER,840,147,484
Joël CONTIVAL,258,268,469
Florence GRILLOT,1696,233,431
Pascal GUILLEMAUD,2330,76,400
Hervé FASSY,1725,88,393
Nadine COSTA,807,259,380
Alain GIBAUD,156,136,375
Jean-Yves CHATELAIN,1068,96,357
Mathias PEREZ,1563,86,351
Virginie VAN ACKER,1170,74,345
Maurice LAMY,1549,105,343
Vivien LHERAUX,1940,65,327
Philippe BARDIN,788,121,321
Gérard WILLIAM,1116,110,302
Martine RIGOLLOT,1505,78,272
Johann CORBARD,1025,123,272
Jean-Pierre MOURICE (OU MOUCE),2282,71,269
Philippe FERRIER,1022,52,253
Roland-F. AEBI,114,83,249
Richard RAFFAILLAC,14,86,232
Laurent GUILLOT,1598,106,216
Thierry PAHUD,2070,28,210
Duo TESSON &amp; BRIAND,1664,35,210
Olivier TOURANCHEAU,2346,38,209
Alec DRAMA,1970,40,209
Patricia HAUBÉ,1788,43,205
Bernard FRIPIAT,837,29,203
Duo RIVOIRE &amp; CARTIER,2072,37,196
Michaël STIERNON,1211,58,191
Camelia DARGIS,275,87,191
Sylvine FERRANDIS,1535,64,187
Alain RAVOLET,1412,49,183
Didier BEAUMONT,1966,11,181
Agnès BERT BUSENHARDT,251,67,178
Lisa CHARNAY,925,43,168
Jacques MAURIN,1706,50,166
Philippe MERCIER DHANGEST,1867,40,164
Frédéric WICKEL,1006,41,160
Pascale VALENTINI-DANIEL,2027,55,159
Sébastien GUYOT,2127,26,158
Yves BILLOT,1924,26,152
Bruno LACROIX,2001,16,150
Didier BARTH,1692,64,148
Denis CRESSENS,300,63,147
Marcel KERVAN,784,45,145
Daniel LEVALLOIS,1812,39,140
Georges NAUDY,761,42,136
Arnaud DELEPIERRE,1246,27,136
Michel PUCHEU,1290,81,134
