"Play","Style","author_id","Author","Created","Played"
"#Le discours","Comédie","2639","Victorien KISSLING","1","2"
"... Chez les Grecs !","Cabaret","1116","Gérard WILLIAM","1","1"
"... Et surtout pour le pire !","Comédie","1983","Viviane TARDIVEL","26","156"
"08 - La Brigade Anti Théâtre Qui Rend Fou","Sketch","1706","Jacques MAURIN","2","15"
"1 et 2... zéro ! Au pays des fourmis","Théâtre jeunesse","1598","Laurent GUILLOT","3","3"
"1 Euro, poussière comprise ! ","Comédie","1037","Claude HUSSON","1","4"
"1,2,3 Kalachnikov !","Comédie grinçante","1682","Patrick MERMAZ","1","1"
"10 personnages en quête d'un meurtre","Comédie burlesque","31","Philippe ABSOUS","3","10"
"100 minutes par jour","Comédie philosophique","1176","Jean-Jacques DURAND","1","1"
"12","Tragi-comédie","249","Wilfrid RENAUD","1","1"
"14 juillet à la maison de retraite","Comédie","2027","Pascale VALENTINI-DANIEL","20","53"
"15 091 960 euros","Comédie","17","Jean-Luc PECQUEUR","2","6"
"1589, le bal des mignons","Comédie","1656","Michel LE DALL","2","3"
"2 folies en faux-semblants...","Comédie","1040","Hugues DE ROSAMEL","1","2"
"2 voeux achetés, le 3ème gratuit !","Sketch","1805","Jean-Paul CANTINEAUX","2","4"
"2026 Mégalopolis","Comédie musicale","1116","Gérard WILLIAM","2","11"
"2101","Comédie grinçante","780","Serge JOCHUM","1","2"
"29 ans... En boomerang !","Comédie","1377","Frédéric DUBOST","1","6"
"3 coups pour un anniversaire","Comédie","1656","Michel LE DALL","1","1"
"5 à&nbsp; 7 à&nbsp; surprises","Comédie","1656","Michel LE DALL","15","60"
"6 000 signes","Comédie absurde","2220","Elisabeth BLIGNY-GUICHETEAU","2","2"
"6e droite en sortant de l'ascenseur","Vaudeville","2535","Marc LUCAS","2","7"
"7 heures tapantes","Comédie sentimentale","988","Gilbert PUREN","2","8"
"72 H pour vivre","Comédie","1696","Florence GRILLOT","10","24"
"78ans.com","Monologue","1377","Frédéric DUBOST","2","6"
"8 minutes 20","Sketch","1887","David-Olivier DEFARGES","2","2"
"9 mois (environ)","Comédie","2142","Matthieu BERTHÉLÉMÉ","3","10"
"A B C omme...","Comédie","300","Denis CRESSENS","2","8"
"A chacun sa méthode","Comédie délirante","1290","Michel PUCHEU","9","15"
"A cheval sur les principes","Comédie","1321","Isabelle OHEIX","8","47"
"A contretemps","Comédie","1598","Laurent GUILLOT","1","9"
"A deux","Comédie","1025","Johann CORBARD","15","37"
"A droite après le deuxième astéroïde","Sketch","11","Pascal MARTIN","7","19"
"A fond les femmes","Comédie","1290","Michel PUCHEU","14","31"
"A l'abordage","Comédie délirante","1655","Jacques BRENET","5","17"
"A l'école","Comédie","1439","Claude ROUX","1","3"
"A l'école des fourmis","Théâtre jeunesse","1598","Laurent GUILLOT","24","29"
"A l'école des parents","Comédie à sketches","1994","Isabelle MOULLARD","5","8"
"A l'hôtel de la plage","Comédie","2413","Nicolas BRANDICOURT","6","17"
"A l'ombre des pommiers","Comédie grinçante","837","Bernard FRIPIAT","4","26"
"A la belle Normande","Comédie burlesque","2282","Jean-Pierre MOURICE (OU MOUCE)","5","36"
"A la bière fraîche","Comédie","1656","Michel LE DALL","42","143"
"A la bonne franquette","Comédie","1983","Viviane TARDIVEL","2","15"
"A la carte","Saynète","1583"," Rosapristina","1","1"
"A la cour des miracles","Comédie historique","1028","Gérard HUBERT-RICHOU","2","5"
"A la croisée des chemins","Drame fantastique","1682","Patrick MERMAZ","2","2"
"A la découverte de Walter","Comédie fantastique","1290","Michel PUCHEU","10","13"
"A la fête des voisins","Comédie","1942","Claude BOULET","1","2"
"A la folie 2","Comédie","2646","Chantal OBIS","1","4"
"A la folie 3","Comédie policière","2646","Chantal OBIS","1","1"
"A la recherche de l'arc perdu","Comédie fantastique","1290","Michel PUCHEU","8","10"
"A la recherche de la nouvelle tare","Comédie","1993","Dominique VERNET","1","2"
"A la rescousse !","Comédie","2007","Benjamin VAN EFFENTERRE","2","7"
"A la ville comme à la scène","Comédie","888","Jean-Jacques DUPUY","8","15"
"A Marijoulet, les moutons ne passeront plus","Comédie","34","Yves GARRIC","2","2"
"A musée vous","Comédie à sketches","11","Pascal MARTIN","19","34"
"A musée vous !","Comédie","2027","Pascale VALENTINI-DANIEL","4","5"
"A nous la liberté !","Théâtre jeunesse","1696","Florence GRILLOT","25","31"
"A petits feux","Comédie","13","Dominique BOUSQUET","1","10"
"A plein tube","Sketch","11","Pascal MARTIN","1","1"
"A portée de main","Sketch","1609","Anny LESCALIER (ex-Daprey)","8","24"
"A quelle heure on ment ?","Comédie","1940","Vivien LHERAUX","12","58"
"A qui perd, dur ! ","Comédie","1037","Claude HUSSON","38","210"
"A Saint-Honoré-les-Bouses","Farce","1353","Patrick TIRTON","7","32"
"A table","Comédie","1025","Johann CORBARD","1","1"
"A ticket to London","Comédie","2005","Isabelle VALES-MAUER","4","7"
