"city","name","url"
"Lyon, France","Les Nuits de Fourvière","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-nuits-de-fourvire"
"Brignoles, France","Art & vin","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#art--vin"
"Saint-macaire, France","Nuits Atypiques","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#nuits-atypiques"
"Angers, France","Festival d'Anjou","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-danjou"
"Aix-noulette, France","Les Enchanteurs","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-enchanteurs"
"Gex, France","tôt ou t'arts","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#tt-ou-tarts"
"Paris 7e arrondissement, France","Métis Plaine Commune","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#mtis-plaine-commune"
"Brioude, France","Les escales Brivadoises","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-escales-brivadoises"
"Limoges, France","Festival Urbaka","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-urbaka"
"Héliopolis, France","Festival Chiche !","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-chiche-"
"Voiron, France","FESTIVAL DES CULTURES DU MONDE - VOIRON CHARTREUSE","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-des-cultures-du-monde---voiron-chartreuse"
"Grenoble, France","33èmes Rencontres du Jeune Théâtre Européen","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#33mes-rencontres-du-jeune-thtre-europen"
"Graulhet, France","Rues d'Été","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#rues-dt"
"Montpellier, France","Festival Du Bruit Dans l'Arène","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-du-bruit-dans-larne"
"Colomiers, France","LES ESTIVADES DE COLOMIERS","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-estivades-de-colomiers"
"Grenoble, France","33es Rencontres du Jeune Théâtre Européen","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#33es-rencontres-du-jeune-thtre-europen"
"Saint-martin-d'hères, France","Festival Bien l'Bourgeon de rattrapage","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-bien-lbourgeon-de-rattrapage"
"Allonnes, France","Les Veillées","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-veilles"
"Avignon, France","Festival d'Avignon","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-davignon"
"Carcassonne, France","Festival de Carcassonne","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-de-carcassonne"
"Lausanne, France","Festival de la Cité Lausanne","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-de-la-cit-lausanne"
"Avignon, France","Festival OFF","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-off"
"Le favril, France","Eclectic Campagne(s)","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#eclectic-campagnes"
"Avignon, France","Les Hivernales","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#les-hivernales"
