"nom","adresse","cp","ville"
"LA COUR DU SPECTATEUR","5 place Louis GASTIN","84000","Avignon"
"PRÉSENCE PASTEUR","13, rue du Pont Trouca","84000","Avignon"
"THÉÂTRE NOTRE DAME","13 à 17, rue du Collège d'Annecy","84000","Avignon"
"THÉÂTRE LA LUNA","1 rue Séverine","84000","Avignon"
"THÉÂTRE DES LILA'S","Entrée rue Rateau (angle rue Londe)","84000","Avignon"
"LASCIERIE","15 bd du quai St Lazare","84000","Avignon"
"THÉÂTRE DU CENTRE","13, rue Louis Pasteur","84000","Avignon"
"THÉÂTRE DU GIRASOLE","24 bis, rue Guillaume Puy","84000","Avignon"
"L'ENTREPÔT - Cie Mises en Scène","1 TER BOULEVARD CHAMPFLEURY","84000","Avignon"
"MAISON DU THÉÂTRE POUR ENFANTS","20 Av Monclar","84000","Avignon"
"THÉÂTRE DES CARMES ANDRÉ BENEDETTO","6, place des Carmes","84000","Avignon"
"TREMPLIN - Salle Les Baladins","7, rue du Bon Pasteur ","84000","Avignon"
"LES ÉTOILES","54 rue Guillaume Puy","84000","Avignon"
"THÉÂTRE DU TRAIN BLEU","40, rue Paul Saïn","84000","Avignon"
"LA PARENTHÈSE","18 rue des études","84000","Avignon"
"SHAM'S THÉÂTRE","25, rue Saint Jean Le Vieux ","84000","Avignon"
"LA FACTORY - Théâtre de l'Oulle","19, place Crillon","84000","Avignon"
"BUFFON","18 rue buffon","84000","Avignon"
"THÉÂTRE DES BÉLIERS","53, rue du Portail Magnanen","84000","Avignon"
"LA MANUFACTURE","2 bis, rue des écoles","84000","Avignon"
"THÉÂTRE DU ROI RENÉ","4 bis, rue Grivolas","84000","Avignon"
"LA FACTORY - Salle Tomasi","4, rue Bertrand","84000","Avignon"
"AMBIGU THÉÂTRE","7, rue de la bourse","84000","Avignon"
"LE CAPITOLE","5 Rue Pourquery de Boisserin","84000","Avignon"
"PARADISE RÉPUBLIQUE","9, rue Mignard","84000","Avignon"
"THÉÂTRE LE PALACE","38, cours Jean Jaurès","84000","Avignon"
"LE PARIS","5 rue Henri Fabre","84000","Avignon"
"ARTO","3, rue Râteau","84000","Avignon"
"ESPACE ROSEAU TEINTURIERS","45, rue des Teinturiers","84000","Avignon"
"FESTIVAL CONTRE COURANT","Ile de la Barthelasse 2201, route de l'Islon","84000","Avignon"
"THÉÂTRE DE L'ARRACHE-CŒUR","13, rue du 58° régiment d’infanterie","84000","Avignon"
"THÉÂTRE DES LUCIOLES","10, rue du rempart St Lazare","84000","Avignon"
"THÉÂTRE GOLOVINE","1 Bis rue Sainte Catherine","84000","Avignon"
"AU VIEUX BALANCIER","2 RUE D AMPHOUX","84000","Avignon"
"HUMANUM 149","149, rue de la carreterie","84000","Avignon"
"FESTIVAL VILLENEUVE EN SCÈNE","Plaine de l'Abbaye","30400","Villeneuve lez Avignon"
"ALBATROS","29, rue des Teinturiers","84000","Avignon"
"THÉÂTRE BO","20, bd St Roch","84000","Avignon"
"ALYA, L'ESPACE","31 bis, rue Guillaume Puy","84000","Avignon"
"PIXEL AVIGNON SALLE BAYAF","10, rue de la carreterie","84000","Avignon"
"THÉÂTRE ÉPISCÈNE","5, rue Ninon Vallin","84000","Avignon"
"THÉÂTRE DU CHÊNE NOIR","8 BIS RUE SAINTE CATHERINE","84000","Avignon"
"THÉÂTRE DES BARRIQUES","8, rue Ledru Rollin","84000","Avignon"
"THÉÂTRE DE L'ATELIER FLORENTIN","28, rue Guillaume Puy","84000","Avignon"
"THÉÂTRE DE LA CARRETERIE","101, rue de la carreterie","84000","Avignon"
"THÉÂTRE DU REMPART","56, rue du rempart Saint Lazare","84000","Avignon"
"LE NOUVEAU GRENIER","9 rue Notre Dame des sept douleurs","84000","Avignon"
"LAURETTE THÉÂTRE AVIGNON","14, rue Plaisance 16/18, rue Joseph Vernet ","84000","Avignon"
"THÉÂTRE DES GÉMEAUX","10 rue du Vieux Sextier","84000","Avignon"
"ATYPIK THÉÂTRE","95, rue de la Bonneterie","84000","Avignon"
"THÉÂTRE DE LA ROTONDE","1 A, rue Jean Catelas","84000","Avignon"
"THÉÂTRE TRANSVERSAL","10, rue d'Amphoux","84000","Avignon"
"ESSAÏON-AVIGNON","33 rue de la Carreterie","84000","Avignon"
"THÉÂTRE DES CORPS SAINTS","76 PLACE DES CORPS SAINTS","84000","Avignon"
"CHAPELLE DU VERBE INCARNÉ","21G, rue des lices (en face du n°60)","84000","Avignon"
"THÉÂTRE DE L’ ÉTINCELLE","14 place des Etudes","84000","Avignon"
"THÉÂTRE DES VENTS","63, rue Guillaume Puy","84000","Avignon"
"LA CASERNE","116, rue de la Carreterie","84000","Avignon"
"11 • AVIGNON","11, bd Raspail","84000","Avignon"
"THÉÂTRE DE LA TACHE D'ENCRE","1 rue de la Tarasque","84000","Avignon"
"LA COMÉDIE D’AVIGNON","40, rue des Lices","84000","Avignon"
"MAISON DE LA POÉSIE D'AVIGNON","6 rue Figuière","84000","Avignon"
"THÉÂTRE L'OPTIMIST","50 rue Guillaume Puy","84000","Avignon"
"THÉÂTRE AU BOUT LÀ-BAS","23, rue Noël Biret","84000","Avignon"
"LA CHAPELLE DES ITALIENS","33 rue Paul Saïn","84000","Avignon"
"AL ANDALUS","25, rue d'Amphoux","84000","Avignon"
"ARTÉPHILE","5 bis, 7 rue Bourg Neuf","84000","Avignon"
"KABAROUF & Alchimique Village Circus","Chemin des Canotiers Ile de la Barthelasse","84000","Avignon"
"THÉÂTRE ACTUEL","80, rue Guillaume Puy","84000","Avignon"
"THÉÂTRE DE L'ANGE","15 17, rue des teinturiers","84000","Avignon"
"PIERRE DE LUNE","3 RUE ROQUILLE","84000","Avignon"
"THÉÂTRE LE PETIT CHIEN","76, Rue Guillaume Puy","84000","Avignon"
"THÉÂTRE LE VIEUX SAGE","34 rue Carreterie","84000","Avignon"
"3 RAISINS","15 rue Thiers","84000","Avignon"
"THÉÂTRE DU BALCON","38, rue Guillaume Puy","84000","Avignon"
"THÉÂTRE DES ITALIENS","82 bis, Rempart Saint Lazare","84000","Avignon"
"THÉÂTRE CARNOT","16 rue Carnot","84000","Avignon"
"LES HIVERNALES - CDCN d'Avignon","18, rue Guillaume Puy","84000","Avignon"
"95. AU VERBE FOU, THÉÂTRE LITTÉRAIRE","95 rue des Infirmières","84000","Avignon"
"TREMPLIN - Salle Molière","8 ter, rue Cornue","84000","Avignon"
"THÉÂTRE LE CASTELET","113 rue de la Carreterie ","84000","Avignon"
"LA PETITE CASERNE","119, rue Carreterie","84000","Avignon"
"ARCHIPEL THÉÂTRE","25, bis rue du Rempart de l'Oulle ","84000","Avignon"
"AVIGNON-REINE BLANCHE","16 rue de la grande fusterie","84000","Avignon"
"Jardin de Maison de Fogasses","37 rue des Fourbisseurs","84000","Avignon"
"CHAPEAU ROUGE THÉÂTRE","25 , 34 36 Rue Du Chapeau Rouge","84000","Avignon"
"THÉÂTRE DES HALLES","Rue du Roi René","84000","Avignon"
"THÉÂTRE DES BRUNES","32 rue Thiers","84000","Avignon"
"THÉÂTRE LE CABESTAN","11, rue du Collège de la Croix","84000","Avignon"
"THÉÂTRE DU CHIEN QUI FUME","75, rue des Teinturiers","84000","Avignon"
"L'ADRESSE","2, avenue de la Trillade","84000","Avignon"
"LA FACTORY - 3-Chapelle des Antonins","5, rue Figuière","84000","Avignon"
"FABRIK THÉÂTRE","10, route de Lyon, Impasse Favot","84000","Avignon"
"THÉÂTRE LE GRAND PAVOIS","13, rue Bouquerie","84000","Avignon"
"THÉÂTRE / GALERIE 3 SOLEILS","4, rue Buffon","84000","Avignon"
"ISLE 80","18, place des trois Pilats","84000","Avignon"
"THÉÂTRE DE LA PORTE SAINT MICHEL","23, rue Saint Michel","84000","Avignon"
"PALAIS DU RIRE","39 RUE DU PORTAIL MAGNANEN","84000","Avignon"
"AU COIN DE LA LUNE","24 rue Buffon","84000","Avignon"
"THÉÂTRE DES DOMS","1 bis, rue des Escaliers Sainte Anne","84000","Avignon"
"COUR DU BAROUF - COUR DES PLATANES","15 rue Louis Pasteur","84000","Avignon"
"MAISON DE LA PAROLE","7, rue du Prévot","84000","Avignon"
"CONDITION DES SOIES","13, rue de la Croix","84000","Avignon"
"THÉÂTRE L'AUTRE CARNOT","7 rue Carnot","84000","Avignon"
"ALIZÉ","15, rue du 58è R.I","84000","Avignon"
"Le Délirium","1 rue Mignard","84000","Avignon"
"PIXEL AVIGNON","18, rue Guillaume Puy","84000","Avignon"
"LE GRENIER A SEL – Aires numériques #2","2 rue du rempart Saint Lazare","84000","Avignon"
"L'ATELIER 44","44, rue Thiers","84000","Avignon"
"La Manutention L'ATELIER","4 rue des escaliers Sainte Anne","84000","Avignon"
"THÉÂTRE BARRETTA","12, place Saint Didier","84000","Avignon"
"Boulodrome de l’Ile Piot","1 chemin de l’Ile Piot – Sous le pont Daladier","84000","Avignon"
"Pôle Théâtre et Marionnette","2155 Chemin de la Barthelasse","84000","Avignon"
