"Nom","Adresse","longlat","Voir les spectacles du jour"
"NOTRE DAME (THÉÂTRE)","13 à 17, rue du Collège d'Annecy 84000 Avignon","43.945969 4.804861","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/notre-dame-theatre-t4668/"
"CARMES ANDRÉ BENEDETTO (THÉÂTRE DES)","6, place des Carmes 84000 Avignon","43.9504781 4.81317709999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/carmes-andre-benedetto-theatre-des-t4654/"
"ESPACE ROSEAU TEINTURIERS","45, rue des Teinturiers 84000 Avignon","43.945011 4.8133067","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/espace-roseau-teinturiers-t4663/"
"ÉTINCELLE (THÉÂTRE DE L’)","14 place des Etudes 84000 Avignon","43.9456048 4.80880239999999","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/etincelle-theatre-de-l-t4666/"
"11 • AVIGNON","11, bd Raspail 84000 Avignon","43.9442326 4.80408790000001","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/11-avignon-t4748/"
"COMÉDIE DU FORUM (LA)","Place de l'Horloge 84000 Avignon","43.948699 4.805892","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/comedie-du-forum-la-t4786/"
"AUTRE CARNOT (THÉÂTRE L')","7 rue Carnot 84000 Avignon","43.949084 4.809078","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/autre-carnot-theatre-l-t4720/"
"PRÉSENCE PASTEUR","13, rue du Pont Trouca 84000 Avignon","43.947898 4.813244","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/presence-pasteur-t4687/"
"LUNA (LA) / QUARTIER LUNA","1 rue Séverine 84000 Avignon","43.9459177 4.81558659999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/luna-la-quartier-luna-t4675/"
"PIERRE DE LUNE / QUARTIER LUNA","3 RUE ROQUILLE 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/pierre-de-lune-quartier-luna-t4784/"
